ALO	ALO	Waterloo Regional Airport	Waterloo	IA	US	423322N	0922359W	2	A
ALP	ALP	Nejrab International Airport	Aleppo		SY	361051N	0371336E	0	A
ALQ	ALQ	G. Machado Ramos Airport	Alegrete	RS	BR	294759S	0554548W	1	A
ALR	ALR	Alexandra Airport	Alexandra		NZ	451250S	1692210E	1	A
ALS	ALS	San Luis Valley Regional Airport	Alamosa	CO	US	372612N	1055200W	3	A
ALT	ALT	Alenquer Airport	Alenquer	PA	BR	015600S	0544600W	1A	A
ALU	ALU	Alula Airport	Alula		SO	115800N	0504800E	0	A
ALV	ALV	Off-Line Point	Andorra La Vella		AD	423000N	0013100E	0	O
ALW	ALW	Walla Walla Regional Airport	Walla Walla	WA	US	460541N	1181728W	4	A
ALX	ALX	Thomas C Russell Field	Alexander City	AL	US	325600N	0855700W	2	A
ALY	ALY	El Nouzha Airport	Alexandria		EG	311054N	0295647E	0	A
ALZ	ALZ	Alitak Sea Plane Base	Alitak	AK	US	565345N	1541445W	5	S
AMA	AMA	Rick Husband International Airport	Amarillo	TX	US	351338N	1014319W	2	A
AMB	AMB	Ambilobe Airport	Ambilobe		MG	131100S	0485900E	0	A
AMC	AMC	Am Timan Airport	Am Timan		TD	110200N	0201700E	0	A
AMD	AMD	S. VallabhBhai Patel Airport	Ahmedabad		IN	230359N	0723727E	0	A
AME	AME	Alto Molocue Airport	Alto Molocue		MZ	155000S	0373500E	0	A
AMF	AMF	Ama Airport	Ama		PG	041000S	1414000E	1	A
AMG	AMG	Amboin Airport	Amboin		PG	043700S	1434200E	1	A
AMH	AMH	Arba Minch Airport	Arba Minch		ET	060210N	0373437E	0	A
AMI	AMI	Selaparang Airport	Mataram		ID	083336S	1160549E	2	A
AMJ	AMJ	Cirilo Queiroz  Airport	Almenara	MG	BR	161100S	0404100W	1	A
AMK	DRO	Animas Air Park Airport	Durango	CO	US	371221N	1075157W	3	A
AML	AML	Puerto Armelles Airport	Puerto Armelles		PA	081600N	0825200W	0	A
AMM	AMM	Queen Alia International Airport	Amman		JO	314300N	0360000E	0	A
AMN	AMN	Gratiot Community Airport	Alma	MI	US	432300N	0843900W	1	A
AMO	AMO	Mao Airport	Mao		TD	140700N	0151900E	0	A
AMP	AMP	Ampanihy Airport	Ampanihy		MG	244200S	0444400E	0	A
AMQ	AMQ	Pattimura Airport	Ambon		ID	034222S	1280519E	3	A
AMR	LEI	Railway Station	Almeria	SP	ES	365004N	0022722W	1	R
AMS	AMS	Schiphol Airport	Amsterdam		NL	521837N	0044605E	0	A
AMT	AMT	Amata Airport	Amata	SA	AU	260900S	1310800E	3	A
AMU	AMU	Amanab Airport	Amanab		PG	033100S	1410900E	1	A
AMV	AMV	Amderma Airport	Amderma		RU	694600N	0613300E	2	A
AMW	AMW	Ames Municipal Airport	Ames	IA	US	415939N	0933706W	2	A
AMX	AMX	Ammaroo Airport	Ammaroo	NT	AU	214424S	1351424E	3A	A
AMY	AMY	Ambatomainty Airport	Ambatomainty		MG	174100S	0454000E	0	A
AMZ	AMZ	Ardmore Airport	Ardmore		NZ	370200S	1745800E	1	A
ANB	ANB	County Airport	Anniston	AL	US	333525N	0855121W	2	A
ANC	ANC	Ted Stevens International Airport	Anchorage	AK	US	611009N	1495907W	5	A
AND	AND	Anderson Airport	Anderson	SC	US	342937N	0824236W	1	A
ANE	ANE	Marce Airport	Angers		FR	473348N	0001848W	0	A
ANF	ANF	Cerro Moreno Airport	Antofagasta		CL	232622S	0702634W	1	A
ANG	ANG	Brie-Champniers Airport	Angouleme		FR	454400N	0001300E	0	A
ANI	ANI	Aniak Airport	Aniak	AK	US	613400N	1593200W	5	A
ANJ	ANJ	Zanaga Airport	Zanaga		CG	025100S	0135000E	0	A
ANK	ANK	Etimesgut Airport	Ankara		TR	395900N	0325000E	0	A
ANL	ANL	Andulo Airport	Andulo		AO	111500S	0171500E	0	A
ANM	ANM	Antsirabato	Antalaha		MG	150000S	0501900E	0	A
ANN	ANN	Annette Island Airport	Annette Island	AK	US	550213N	1313414W	5	A
ANO	ANO	Angoche Airport	Angoche		MZ	161040S	0395613E	0	A
ANP	ANP	Lee Airport	Annapolis	MD	US	385900N	0763000W	1	A
ANQ	ANQ	Tri-State Steuben County Airport	Angola	IN	US	413800N	0850000W	1	A
ANR	ANR	Antwerp International Airport	Antwerp		BE	511124N	0042736E	0	A
ANS	ANS	Andahuaylas Airport	Andahuaylas		PE	134300S	0732121W	0	A
ANT	ANT	Heliport	St Anton		AT	470715N	0101430E	0	H
ANU	ANU	V.C. Bird International Airport	Antigua		AG	170630N	0614550W	0	A
ANV	ANV	Anvik Airport	Anvik	AK	US	623852N	1601120W	5	A
ANW	ANW	Ainsworth Regional Airport	Ainsworth	NE	US	423300N	0995200W	2	A
ANX	ANX	Andenes Airport	Andenes		NO	691735N	0160830E	0	A
ANY	ANY	Anthony Municipal Airport	Anthony	KS	US	370900N	0980200W	2	A
ANZ	ANZ	Angus Downs Station Airport	Angus Downs Station	NT	AU	250500S	1321000E	3A	A
AOA	AOA	Aroa Airport	Aroa		PG	090300S	1464800E	1	A
AOB	AOB	Annanberg Airport	Annanberg		PG	045500S	1443900E	1	A
AOC	AOC	Altenburg Nobitz Airport	Altenburg		DE	505900N	0122700E	0	A
AOD	AOD	Abou Deia Airport	Abou Deia		TD	112829N	0191720E	0	A
AOE	ESK	Anadolu Airport	Eskisehir		TR	394845N	0303141E	0	A
AOG	AOG	Teng'ao Airport	Anshan		CN	411000N	1230200E	0	A
